0,บ้านเดี่ยว(สไตล์บ้านแฝด)
1,null
2,ทาวน์เฮ้าส์(สไตล์บ้านแฝด)
3,วิลล่า(สไตล์บ้านเดี่ยว)
4,บ้านเดี่ยว
5,บ้านเดี่ยว(สไตล์บ้านเดี่ยว)
6,วิลล่า
7,วิลล่า(สไตล์บ้านแฝด)
8,ทาวน์เฮ้าส์(สไตล์บ้านเดี่ยว)
9,ทาวน์เฮ้าส์
